,timestamp,lat,lon,alt,timestamp_diff,lat_prev,lon_prev,distance,speed
0,56:00.1,40.7863714,-119.2021734,1191.961,,,,,
1,56:02.0,40.7863773,-119.2022353,1191.393,0 days 00:00:01.913559,40.7863714,-119.2021734,0.00051137,1.840931506
2,56:04.0,40.7863826,-119.202295,1191.316,0 days 00:00:02.015101,40.7863773,-119.2022353,0.000459366,0.826859042
3,56:06.0,40.7863835,-119.2023625,1190.394,0 days 00:00:02.010234,40.7863826,-119.202295,7.80E-05,0.140410023
4,56:08.1,40.7863849,-119.202426,1189.581,0 days 00:00:02.036932,40.7863835,-119.2023625,0.000121342,0.218415592
5,56:10.0,40.7863816,-119.202485,1189.609,0 days 00:00:01.957415,40.7863849,-119.202426,0.00028602,1.029673509
6,56:12.1,40.7863726,-119.2025369,1189.979,0 days 00:00:02.057008,40.7863816,-119.202485,0.000780056,1.404100281
7,56:15.0,40.786375,-119.2025987,1187.833,0 days 00:00:02.983631,40.7863726,-119.2025369,0.000208015,0.374426747
8,56:18.1,40.7863747,-119.2026629,1186.899,0 days 00:00:03.003149,40.786375,-119.2025987,2.60E-05,0.031202228
9,56:20.0,40.786376,-119.2027203,1186.264,0 days 00:00:01.974074,40.7863747,-119.2026629,0.000112675,0.405628971
10,56:22.0,40.7863753,-119.2027859,1186.268,0 days 00:00:01.985242,40.786376,-119.2027203,6.07E-05,0.218415599
11,56:24.0,40.7863755,-119.20285,1186.492,0 days 00:00:01.966232,40.7863753,-119.2027859,1.73E-05,0.062404456
12,56:26.1,40.7863748,-119.2029117,1186.671,0 days 00:00:02.081029,40.7863755,-119.20285,6.07E-05,0.109207801
13,56:28.0,40.7863704,-119.202975,1186.978,0 days 00:00:01.919977,40.7863748,-119.2029117,0.000381361,1.372898084
14,56:30.0,40.7863686,-119.2030411,1186.917,0 days 00:00:02.000441,40.7863704,-119.202975,0.000156011,0.280820068
15,56:32.0,40.7863693,-119.2031126,1186.391,0 days 00:00:02.066783,40.7863686,-119.2030411,6.07E-05,0.109207803
16,56:34.0,40.7863695,-119.2031826,1186.389,0 days 00:00:01.977941,40.7863693,-119.2031126,1.73E-05,0.062404461
17,56:36.0,40.7863685,-119.2032522,1186.23,0 days 00:00:01.967141,40.7863695,-119.2031826,8.67E-05,0.312022296
18,56:38.1,40.7863719,-119.2033223,1186.184,0 days 00:00:02.068392,40.7863685,-119.2032522,0.000294688,0.530437903
19,56:40.1,40.7863737,-119.2033906,1186.12,0 days 00:00:02.011639,40.7863719,-119.2033223,0.000156011,0.280820061
20,56:42.0,40.7863776,-119.2034569,1186.14,0 days 00:00:01.971041,40.7863737,-119.2033906,0.000338024,1.216886921
21,56:44.0,40.7863901,-119.2035323,1187.019,0 days 00:00:01.953253,40.7863776,-119.2034569,0.001083411,3.900278418
22,56:46.0,40.786404,-119.2036137,1187.404,0 days 00:00:02.029525,40.7863901,-119.2035323,0.001204753,2.168554647
23,56:48.0,40.7864257,-119.20369,1187.726,0 days 00:00:01.989476,40.786404,-119.2036137,0.001880801,6.770882205
24,56:50.1,40.7864429,-119.2037545,1186.735,0 days 00:00:02.056035,40.7864257,-119.20369,0.001490773,2.683390821
25,56:52.0,40.7864571,-119.2038141,1186.88,0 days 00:00:01.945928,40.7864429,-119.2037545,0.001230754,4.430714707
26,56:54.0,40.7864719,-119.2038746,1187.769,0 days 00:00:01.965342,40.7864571,-119.2038141,0.001282758,4.617927643
27,56:56.1,40.7864838,-119.203927,1189.381,0 days 00:00:02.101561,40.7864719,-119.2038746,0.001031406,1.856531588
28,56:58.1,40.7864956,-119.2039776,1189.938,0 days 00:00:01.976131,40.7864838,-119.203927,0.001022739,3.681860727
29,57:00.0,40.7865145,-119.2040349,1190.057,0 days 00:00:01.988391,40.7864956,-119.2039776,0.001638116,5.897217121
30,57:02.0,40.7865285,-119.2040939,1190.572,0 days 00:00:01.977264,40.7865145,-119.2040349,0.001213419,4.368308592
31,57:05.0,40.7865411,-119.2041639,1191.232,0 days 00:00:03.012367,40.7865285,-119.2040939,0.001092077,1.310492484
32,57:08.0,40.7865543,-119.2042286,1191.153,0 days 00:00:02.965643,40.7865411,-119.2041639,0.001144081,2.059345188
33,57:11.0,40.7865661,-119.2042831,1191.594,0 days 00:00:03.023879,40.7865543,-119.2042286,0.001022739,1.227286444
34,57:14.0,40.7865756,-119.2043465,1190.569,0 days 00:00:02.972615,40.7865661,-119.2042831,0.000823391,1.482104307
35,57:17.0,40.7865917,-119.2044021,1190.626,0 days 00:00:03.000391,40.7865756,-119.2043465,0.001395431,1.674517734
36,57:21.1,40.7866218,-119.2044637,1190.157,0 days 00:00:04.069114,40.7865917,-119.2044021,0.00260885,2.34796479
37,57:24.0,40.7866463,-119.2045312,1190.005,0 days 00:00:02.933871,40.7866218,-119.2044637,0.002123482,3.822267703
38,57:28.0,40.7866827,-119.2045948,1189.643,0 days 00:00:03.979821,40.7866463,-119.2045312,0.003154887,3.785864532
39,57:32.0,40.7867315,-119.2046508,1189.027,0 days 00:00:03.992629,40.7866827,-119.2045948,0.004229628,5.075553485
40,57:35.1,40.7867757,-119.2047063,1189.333,0 days 00:00:03.094746,40.7867315,-119.2046508,0.003830933,4.597119013
41,57:38.1,40.7868134,-119.2047641,1188.93,0 days 00:00:02.998605,40.7867757,-119.2047063,0.003267559,5.881606852
42,57:41.1,40.7868594,-119.204819,1188.008,0 days 00:00:02.994570,40.7868134,-119.2047641,0.003986942,7.176494808
43,57:44.0,40.7869102,-119.2048764,1187.792,0 days 00:00:02.962849,40.7868594,-119.204819,0.004402969,7.925344377
44,57:47.0,40.7869659,-119.2049353,1187.715,0 days 00:00:02.966237,40.7869102,-119.2048764,0.004827664,8.689794393
45,57:50.0,40.7870186,-119.2049838,1187.489,0 days 00:00:03.029766,40.7869659,-119.2049353,0.004567644,5.481173322
46,57:53.0,40.7870762,-119.2050318,1187.322,0 days 00:00:02.962915,40.7870186,-119.2049838,0.004992339,8.986209381
47,57:56.0,40.7871327,-119.2050872,1186.951,0 days 00:00:03.018037,40.7870762,-119.2050318,0.004896997,5.876396691
48,58:00.0,40.7872019,-119.2051493,1186.284,0 days 00:00:03.982738,40.7871327,-119.2050872,0.005997736,7.197283424
49,58:03.0,40.7872671,-119.205191,1186.895,0 days 00:00:03.035442,40.7872019,-119.2051493,0.005651044,6.781253027
50,58:06.0,40.7873289,-119.2052238,1187.269,0 days 00:00:02.965449,40.7872671,-119.205191,0.005356356,9.64144081
51,58:09.0,40.7873819,-119.2052513,1187.588,0 days 00:00:03.034828,40.7873289,-119.2052238,0.004593637,5.512364672
52,58:12.0,40.7874483,-119.2052915,1187.322,0 days 00:00:02.958838,40.7873819,-119.2052513,0.005755046,10.35908198
53,58:15.0,40.7875158,-119.205332,1187.483,0 days 00:00:03.048686,40.7874483,-119.2052915,0.005850383,7.020459655
54,58:18.0,40.7875745,-119.2053686,1187.955,0 days 00:00:02.969053,40.7875158,-119.205332,0.005087665,9.157796482
55,58:21.0,40.7876284,-119.2054026,1188.307,0 days 00:00:02.982949,40.7875745,-119.2053686,0.004671636,8.408945159
56,58:25.0,40.787691,-119.2054455,1188.755,0 days 00:00:03.998978,40.7876284,-119.2054026,0.005425683,6.510820061
57,58:29.1,40.7877495,-119.2054871,1189.368,0 days 00:00:04.094944,40.787691,-119.2054455,0.005070325,4.563292924
58,58:33.1,40.7877995,-119.2055223,1189.572,0 days 00:00:04.004812,40.7877495,-119.2054871,0.00433361,3.900249224